,country_name,independent,un_member,start_Of_Week,official_country_name,common_native_name,idd_root,idd_suffixes,capital,region,sub_region,languages,area,population,continents,currencies
28,China,True,True,monday,People's Republic of China,,+8,['6'],['Beijing'],Asia,Eastern Asia,Chinese,9706961.0,1402112000,['Asia'],"Chinese yuan, ¥"
29,Yemen,True,True,sunday,Republic of Yemen,,+9,['67'],"[""Sana'a""]",Asia,Western Asia,Arabic,527968.0,29825968,['Asia'],"Yemeni rial, ﷼"
30,Saint Barthélemy,False,False,monday,Collectivity of Saint Barthélemy,,+5,['90'],['Gustavia'],Americas,Caribbean,French,21.0,4255,['North America'],"Euro, €"
31,Guernsey,False,False,monday,Bailiwick of Guernsey,Guernsey,+4,['4'],['St. Peter Port'],Europe,Northern Europe,"English, French, Guernésiais",78.0,62999,['Europe'],"British pound, £, Guernsey pound, £"
32,Solomon Islands,True,True,monday,Solomon Islands,Solomon Islands,+6,['77'],['Honiara'],Oceania,Melanesia,English,28896.0,686878,['Oceania'],"Solomon Islands dollar, $"
33,Svalbard and Jan Mayen,False,False,monday,Svalbard og Jan Mayen,,+4,['779'],['Longyearbyen'],Europe,Northern Europe,Norwegian,61399.0,2562,['Europe'],"krone, kr"
34,Faroe Islands,False,False,monday,Faroe Islands,,+2,['98'],['Tórshavn'],Europe,Northern Europe,"Danish, Faroese",1393.0,48865,['Europe'],"Danish krone, kr, Faroese króna, kr"
35,Uzbekistan,True,True,monday,Republic of Uzbekistan,,+9,['98'],['Tashkent'],Asia,Central Asia,"Russian, Uzbek",447400.0,34232050,['Asia'],"Uzbekistani soʻm, so'm"
36,Egypt,True,True,sunday,Arab Republic of Egypt,,+2,['0'],['Cairo'],Africa,Northern Africa,Arabic,1002450.0,102334403,['Africa'],"Egyptian pound, £"
37,Senegal,True,True,monday,Republic of Senegal,,+2,['21'],['Dakar'],Africa,Western Africa,French,196722.0,16743930,['Africa'],"West African CFA franc, Fr"
38,Sri Lanka,True,True,monday,Democratic Socialist Republic of Sri Lanka,,+9,['4'],['Sri Jayawardenepura Kotte'],Asia,Southern Asia,"Sinhala, Tamil",65610.0,21919000,['Asia'],"Sri Lankan rupee, Rs  රු"
39,Palestine,False,False,sunday,State of Palestine,,+9,['70'],"['Ramallah', 'Jerusalem']",Asia,Western Asia,Arabic,6220.0,4803269,['Asia'],"Egyptian pound, E£, Israeli new shekel, ₪, Jordanian dinar, JD"
40,Bangladesh,True,True,sunday,People's Republic of Bangladesh,,+8,['80'],['Dhaka'],Asia,Southern Asia,Bengali,147570.0,164689383,['Asia'],"Bangladeshi taka, ৳"
41,Peru,True,True,monday,Republic of Peru,,+5,['1'],['Lima'],Americas,South America,"Spanish, Aymara, Quechua",1285216.0,32971846,['South America'],"Peruvian sol, S/ "
42,Singapore,True,True,monday,Republic of Singapore,Singapore,+6,['5'],['Singapore'],Asia,South-Eastern Asia,"English, Chinese, Tamil, Malay",710.0,5685807,['Asia'],"Singapore dollar, $"
